                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0318,                0.82402,                 1.2825,                0.78401,                0.76786,                0.84768,                0.61735,                  0.995,                0.91151,                 1.3498,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.0522,                0.85968,                 1.2816,                0.77557,                0.83311,                0.88906,                0.58431,                 1.1188,                   1.05,                 1.4964,               0.001307,               0.001307,               0.001307
                     37,                0.96275,                0.78645,                 1.2549,                0.78854,                0.77679,                0.87405,                0.55255,                 1.1691,                 1.3252,                 1.5477,              0.0012872,              0.0012872,              0.0012872
                     38,                0.91603,                0.73878,                 1.1948,                0.92519,                  0.875,                0.94308,                0.71268,                0.86485,                0.86379,                 1.1975,              0.0012674,              0.0012674,              0.0012674
                     39,                0.97732,                0.78421,                 1.2552,                0.74723,                0.64286,                0.76439,                0.53781,                 1.0041,                  1.061,                 1.3844,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.0401,                0.83407,                  1.323,                0.74822,                0.51786,                0.63307,                0.41666,                 1.2261,                 1.3237,                 1.5629,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.0215,                0.82057,                 1.2991,                0.86589,                0.95536,                0.95404,                0.72269,                0.82013,                0.67364,                 1.1852,               0.001208,               0.001208,               0.001208
                     42,                0.88739,                0.71173,                 1.1968,                0.88038,                0.96429,                0.97358,                0.74169,                0.84525,                0.66876,                 1.1862,              0.0011882,              0.0011882,              0.0011882
                     43,                   1.02,                0.78144,                 1.2693,                0.92286,                0.88393,                0.94797,                 0.7114,                0.88178,                0.71137,                 1.1988,              0.0011684,              0.0011684,              0.0011684
                     44,                0.97333,                0.80846,                 1.2672,                0.86115,                0.94137,                0.95647,                0.73933,                0.79461,                0.66669,                 1.1194,              0.0011486,              0.0011486,              0.0011486
                     45,                0.99678,                0.78091,                  1.246,                0.86276,                0.90179,                 0.9462,                0.72164,                0.80479,                0.66437,                 1.1273,              0.0011288,              0.0011288,              0.0011288
                     46,                0.95004,                0.82206,                  1.269,                0.90202,                0.90421,                  0.944,                0.70873,                0.79412,                0.68139,                 1.1383,               0.001109,               0.001109,               0.001109
                     47,                0.87701,                0.71955,                 1.2087,                0.92427,                 0.9807,                0.98598,                0.78893,                 0.7111,                0.66013,                 1.1032,              0.0010892,              0.0010892,              0.0010892
                     48,                0.92681,                0.71651,                 1.2483,                 0.9159,                0.91964,                0.96577,                0.75548,                 0.7556,                0.69731,                 1.1611,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.8429,                0.67957,                 1.1844,                0.81059,                0.89286,                0.91927,                0.67417,                0.84698,                0.77619,                 1.2386,              0.0010496,              0.0010496,              0.0010496
                     50,                0.91232,                 0.7231,                 1.2177,                0.88958,                0.79464,                0.89403,                0.67317,                0.84083,                0.77065,                 1.2162,              0.0010298,              0.0010298,              0.0010298
                     51,                0.87615,                0.72318,                  1.201,                0.98479,                0.99107,                0.99429,                0.80927,                0.66824,                0.48297,                 1.0613,                0.00101,                0.00101,                0.00101
                     52,                0.84477,                0.71922,                 1.2365,                0.98884,                0.98214,                0.99465,                0.83524,                0.62951,                0.49278,                 1.0366,              0.0009902,              0.0009902,              0.0009902
                     53,                0.82375,                0.69467,                 1.1657,                      1,                0.98978,                  0.995,                 0.8524,                0.62717,                0.50128,                 1.0327,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.9231,                0.75053,                 1.2681,                0.96937,                0.92857,                0.98712,                0.80141,                0.69047,                0.57064,                 1.0669,              0.0009506,              0.0009506,              0.0009506
                     55,                0.76193,                0.60827,                 1.1446,                0.96508,                 0.9375,                0.98081,                0.81795,                0.65768,                0.58558,                  1.034,              0.0009308,              0.0009308,              0.0009308
